,Unnamed: 0,Reviewer Details, Effectiveness Rating, Ease_of_Use Rating, Satisfaction Rating, Comment,Age,Gender
606,607, jenny| 25-34 Female  on Treatment for 1 to 6 months (Patient) ,2,4,1,am going through withdrawal because i cant pay anymore. i am at  20 mil and it is h,25-34,Female
607,608, mandyjuelz| 19-24 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,I have been taking methadone for 3 yrs almost and it has been a lifesaver!  I was shooting $400.00 a day worth of oxycontin| fentanyl| and heroin in my arm and I had lost everything I had worked for by the age of 21.  I began the program at the methadone clinic just because I could no longer afford my habit.  I still continued to use when I first started the program.  But| then after a while| I realized that methadone was working fine and that I didn't have to use anymore.  Because of methadone| I have rekindled relationships with my friends and family (who now trust me again)| I've got a wonderful job and my own house and car.  I have to start over from scratch at 22 yrs. old| but I'm so glad I did.  If you take this drug the way it is prescribed and actually make an attempt to follow the program| then it will work and it will change your life. I would be dead if it weren't for this miracle drug.  Yes| withdrawal from methadone is awful and worse than heroin withdrawal| but if you follow the program correctly and SLOWLY taper down the way you are supposed to then you won't experience any of this horrible withdrawal.  You hear people talk about how horrible this drug is because of the severe withdrawal| well if they would have follwed the program right| instead of continuing to still get high and get kicked off the program| then they wouldn't experience this bad withdrawal.  People who continue to get high while on the program are the people that give methadone rehabilitation a bad stigma.  Also| you hear people talk about how they'd like to have methadone taken off the market b/c their loved ones od'ed| etc.  Well| 9 times out of 10| it' because they were probably abusing it| not taking it they way it was prescribed| or because they mixed it with another narcotic.  I wish people would realize how many lives this drug has SAVED....including mine. With it| you get less addicts| less people stealing| less transmitted disease from IV use| etc.  It's a miracle drug!,19-24,Female
608,609, al| 25-34 Male  on Treatment for 1 to less than 2 years (Patient) ,5,5,5,Methadone is probly the best drug that i have used long term that works day in and day out i have 10 screws 5 plates and rods in my lower back and i have taken it all preety much so if you have chronic pain and have been on meds for a while this is the best med to take for long lasting pain relief. But the withdrawl is a bitch if you come off or run out so keep that in mind.,25-34,Male
610,611, lady t| 35-44 Female  on Treatment for 2 to less than 5 years (Patient) ,4,2,2,hadone is a very dangerous drug!!!!!  i've lost several friends to overdose. the clinics here don't care how high you go on your dose| and make you come everyday (big pain in the neck!).  the counselors don't give a hoot about you. the withdrawls from methadone are worse than herion. i would rather deal with the pain than be on this drug. please consider this before taking this drug!!!!,35-44,Female
611,612, bobbie| 45-54 Female  on Treatment for 2 to less than 5 years (Patient) ,5,4,5,after 20 plus years of heroin abuse| I have finally been able to live life without going to jail| being sick and desperate| fighting with my family| feeling worthless.The only problem is the cost of staying on a program. I would love to find a doctor who would prescribe methadone for me on a monthly basis.,45-54,Female
612,613, bluueyes4ever| 35-44 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,I have Chronic pain in my neck upper back lower back through radiates into my legs. I have had several surgeries on neck and back with minor success overall. The meds made me so loopy. Never let anyone prescribe anything you have not researched first: I have been given meds for all kinds ofs diseases that were for MS and other similar conditions and several made me suicidal others made me fall asleep from a standing position| and the oxycontin turned me into a zombe! I almost lost my husband and my life due to these meds. Thank God for methadone. It is only for long term pain management| not pain that just pops up! It also messes with my sexual gratification. We take a day off on weekends for sex- Only way I can orgasm! Good luck to you all. Er,35-44,Female
613,614, 45-54 Female  on Treatment for 1 to less than 2 years,5,5,4,I am so grateful for this drug it has saved my lif,45-54,Female
614,615, 25-34 Female  on Treatment for less than 1 month (Patient) ,4,3,4,will make you sick for the first couple days but it takes the pain away,25-34,Female
615,616, 13colts| 45-54 Female  on Treatment for 2 to less than 5 years (Caregiver) ,4,4,4,amily member using this treatment for approx 2 1/2 yrs. In my mind she's traded 1 addiction for another only Medicaid pays for this fix. I despise this method of treatment. Wish she would go to a treatment center and get a different kind of help,45-54,Female
617,618, 45-54 Male  on Treatment for less than 1 month (Patient) ,3,3,3,After many years| I will be switching at some point in the near future to Foricet/Codein to Methadone for treatment of severe headaches.  I have had great success with the fioricet| but| with my doctor| we are exploring treatment alternatives.  After reading the reviews posted here| I have reservations about the transition.  Does anyone have first-hand experience (success?) with this drug for the treatment of severe headaches?,45-54,Male
618,619, airhead| 35-44 Male  on Treatment for less than 1 month (Patient) ,3,5,3,have chronic upper and middle back pain| with two rotator cups torn w/ arthiritis in the back. take the drug as told| but has a weird feeling because the whole backside of the body is num from the head to the feet. i don't drink alcohol but i drink coffee and at times i feel like i'm drunk and jacked up. but i can drive like i used to before all the pain and some times even better. but if your in wa i heard if you piss in cup for a cop and its more than .75 mg you get a dui . so besure that you feel ok before you drive.,35-44,Male
619,620, davicki| 45-54 Female  on Treatment for 1 to 6 months (Patient) ,3,5,3,I am successfully taking this medication and am still afraid of it.  I also take Valium to sleep and am wondering if this couldn't be fatal to my heart?,45-54,Female
620,621, 55-64 Male  on Treatment for 1 to less than 2 years (Patient) ,2,1,1,heart attack| sickness at stomach| low blood levels| I NEED TO DETOX,55-64,Male
621,622, cw| 35-44 Female  on Treatment for 2 to less than 5 years (Patient) ,5,2,3,The clinic controls your life the cost is high unless you have no insurance and it is very hard to get off of.And was there for over four years.,35-44,Female
623,624, painsufferer123| 35-44 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,s the only medication that works for me.,35-44,Male
624,625, jason| 25-34 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,helped me get off drugs,25-34,Male
625,626, teeniemarie7| 25-34 Female  on Treatment for 1 to 6 months (Patient) ,1,1,1,I  have been on methadone for about 3 to 4 months now for cronic back and wrist pain.  It seems to be not working as well anymore as it did in the beginning and im exstreamly tired all the time| which I can not be drowsy or tired at all because I am a single mother of 3 children that are all under the age of 10. I told my primary care  doctor and the perscribing doctor that this medicine is not helping anymore and that its making me very tired. My primary doctor said maybe taking methadone with daladid or morphine or oxy cotten would be more helpful | later that day seeing my pain doctor she said she will not do that and upped my dose from 12.5 max to 17.5 mg daily???  I dont understand why my doctor is not listening to my complaint of this medication. Does anyone know of a better pain clinic/pain Dr.  in the Rochester|Ny  area.   I dont want to end up with a mess I have been reading about.|???????,25-34,Female
626,627, jesthro| 25-34 Male  on Treatment for 1 to 6 months (Patient) ,4,5,3,"I have had 4 open shoulder reconstructive surgeries.  Aside from the daily shoulder pain I have| back problems aswel.  I take 40 mg of methadone per day| 2 daily| and 2 before bed. Other than severe episodes of drowsiness| which go away after a 30 min nap| I find that this medication works very well for me.  Before taking methadone| I was taking 10 mg percocets every 6 hours for pain management.  I found that the percocets kept me up at night| and soon they didn't work aswel as they were at first do to tolerance biuld up.  I also found that when I started taking methadone for pain after I had been taking the percocets| I no longer would have anxious episodes in between my percocet doses| kind of like tiny withdraw episodes because the percocet would only last me 3 hours after a while.  I found myself suffering for 3 hours in between my regular every 6 hour doses.  The methadone has a longer half life| which means it works longer for the pain then the other drugs I have taken for pain do.  I no longer have anxious| pain filled fits inbetween my methadone doses.  The only thing that I experience once in a while is a bit of mild pain while sleeping at night| do to moving around on my shoulders.  My mood is better! my pain is 80% better! my appetite is back to normal. It also seems to have taken away any desire to want percocets| which was just starting to become a problem right before I told my Doctor.  It does'nt work for everyone| especially people with drug problems| but I can honestly say ""it works for me"".",25-34,Male
